Date,Close/Last,Open,High,Low
2023-12-28,4783.35,4786.44,4793.3,4780.98
2023-12-27,4781.58,4773.45,4785.39,4768.9
2023-12-26,4774.75,4758.86,4784.72,4758.45
2023-12-22,4754.63,4753.92,4772.94,4736.77
2023-12-21,4746.75,4724.29,4748.71,4708.35
2023-12-20,4698.35,4764.73,4778.01,4697.82
2023-12-19,4768.37,4743.72,4768.69,4743.72
2023-12-18,4740.56,4725.58,4749.52,4725.58
2023-12-15,4719.19,4714.23,4725.53,4704.69
2023-12-14,4719.55,4721.04,4738.57,4694.34
2023-12-13,4707.09,4646.2,4709.69,4643.23
2023-12-12,4643.7,4618.3,4643.93,4608.09
2023-12-11,4622.44,4593.39,4623.71,4593.39
2023-12-08,4604.37,4576.2,4609.23,4574.06
2023-12-07,4585.59,4568.84,4590.92,4565.22
2023-12-06,4549.34,4586.23,4590.74,4546.5
2023-12-05,4567.18,4557.25,4578.56,4551.68
2023-12-04,4569.78,4564.37,4572.37,4546.72
2023-12-01,4594.63,4559.43,4599.39,4554.71
2023-11-30,4567.8,4554.87,4569.89,4537.24
2023-11-29,4550.58,4571.84,4587.64,4547.15
2023-11-28,4554.89,4545.55,4568.14,4540.51
2023-11-27,4550.43,4554.86,4560.52,4546.32
2023-11-24,4559.34,4555.84,4560.31,4552.8
2023-11-22,4556.62,4553.04,4568.43,4545.05
2023-11-21,4538.19,4538.77,4542.14,4525.51
2023-11-20,4547.38,4511.7,4557.11,4510.36
2023-11-17,4514.02,4509.55,4520.12,4499.66
2023-11-16,4508.24,4497.08,4511.99,4487.83
2023-11-15,4502.88,4505.3,4521.17,4495.31
2023-11-14,4495.7,4458.97,4508.67,4458.97
2023-11-13,4411.55,4406.66,4421.76,4393.82
2023-11-10,4415.24,4364.15,4418.03,4353.34
2023-11-09,4347.35,4391.41,4393.4,4343.94
2023-11-08,4382.78,4384.37,4391.2,4359.76
2023-11-07,4378.38,4366.21,4386.26,4355.41
2023-11-06,4365.98,4364.27,4372.21,4347.53
2023-11-03,4358.34,4334.23,4373.62,4334.23
2023-11-02,4317.78,4268.26,4319.72,4268.26
2023-11-01,4237.86,4201.27,4245.64,4197.74
2023-10-31,4193.8,4171.33,4195.55,4153.12
2023-10-30,4166.82,4139.39,4177.47,4132.94
2023-10-27,4117.37,4152.93,4156.7,4103.78
2023-10-26,4137.23,4175.99,4183.6,4127.9
2023-10-25,4186.77,4232.42,4232.42,4181.42
2023-10-24,4247.68,4235.79,4259.38,4219.43
2023-10-23,4217.04,4210.4,4255.84,4189.22
2023-10-20,4224.16,4273.85,4276.56,4223.03
2023-10-19,4278.0,4321.36,4339.54,4269.69
2023-10-18,4314.6,4357.35,4364.2,4303.84
2023-10-17,4373.2,4345.23,4393.57,4337.54
2023-10-16,4373.63,4342.37,4383.33,4342.37
2023-10-13,4327.78,4360.49,4377.1,4311.97
2023-10-12,4349.61,4380.94,4385.85,4325.43
2023-10-11,4376.95,4366.59,4378.64,4345.34
2023-10-10,4358.24,4339.75,4385.46,4339.64
2023-10-09,4335.66,4289.02,4341.73,4283.79
2023-10-06,4308.5,4234.79,4324.1,4219.55
2023-10-05,4258.19,4259.31,4267.13,4225.91
2023-10-04,4263.75,4233.83,4268.5,4220.48
2023-10-03,4229.45,4269.75,4281.15,4216.45
2023-10-02,4288.39,4284.52,4300.58,4260.21
2023-09-29,4288.05,4328.18,4333.15,4274.86
2023-09-28,4299.7,4269.65,4317.27,4264.38
2023-09-27,4274.51,4282.63,4292.07,4238.63
